Column1;Column2;Column3
FUNDAÇÃO UNIVERSIDADE FEDERAL DE VIÇOSA;UFV;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
FUNDAÇÃO UNIVERSIDADE FEDERAL DO ABC;UFABC;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA;UNIPAMPA;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
FUNDAÇÃO UNIVERSIDADE FEDERAL DO RIO GRANDE;FURG;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO;UNIVASF;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
FUNDO NACIONAL DE DESENVOLVIMENTO DA EDUCAÇÃO;FNDE;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
GABINETE DE SEGURANÇA INSTITUCIONAL DA PRESIDÊNCIA DA REPÚBLICA;GSI/PR;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
INSTITUTO BRASILEIRO DE MUSEUS;IBRAM;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
INSTITUTO BRASILEIRO DO MEIO AMBIENTE E DOS RECURSOS NATURAIS RENOVÁVEIS;IBAMA;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
INSTITUTO CHICO MENDES DE CONSERVAÇÃO DA BIODIVERSIDADE;ICMBIO;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
INSTITUTO DE PESQUISAS JARDIM BOTÂNICO DO RIO DE JANEIRO;JBRJ;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
INSTITUTO DO PATRIMÔNIO HISTÓRICO E ARTÍSTICO NACIONAL;IPHAN;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA BAIANO";IF BAIANO;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA CATARINENSE";IFC;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE BRASÍLIA";IFB;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE MATO GROSSO";IF MT;2. DOCUMENTAÇÃO AINDA NÃO ANALISADA
