NOME,SIGLA,AVALIAÇÃO
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SUL DE MINAS GERAIS",IFSULDEMINAS,1. NÃO INICIADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO TRIÂNGULO MINEIRO",IFTRIAMG,1. NÃO INICIADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FARROUPILHA",IFFAR,1. NÃO INICIADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA FLUMINENSE",IFFLU,1. NÃO INICIADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA GOIANO",IF-GOIANO,1. NÃO INICIADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUDESTE DE MINAS GERAIS",IFMGSE,1. NÃO INICIADA
"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA SUL-RIO-GRANDENSE",IFSUL,1. NÃO INICIADA
"INSTITUTO FEDERAL DO EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE TOCANTINS",IFTO,1. NÃO INICIADA
INSTITUTO NACIONAL DA PROPRIEDADE INDUSTRIAL,INPI,1. NÃO INICIADA
INSTITUTO NACIONAL DE COLONIZAÇÃO E REFORMA AGRÁRIA,INCRA,1. NÃO INICIADA
INSTITUTO NACIONAL DE ESTUDOS E PESQUISAS EDUCACIONAIS ANÍSIO TEIXEIRA,INEP,1. NÃO INICIADA
"INSTITUTO NACIONAL DE METROLOGIA, QUALIDADE E TECNOLOGIA",INMETRO,1. NÃO INICIADA
INSTITUTO NACIONAL DE TECNOLOGIA DA INFORMAÇÃO,ITI,1. NÃO INICIADA
INSTITUTO NACIONAL DO SEGURO SOCIAL,INSS,1. NÃO INICIADA
"MINISTÉRIO DA AGRICULTURA, PECUÁRIA E ABASTECIMENTO",MAPA,2. EM EXECUÇÃO
MINISTÉRIO DA CIDADANIA,MCIDADANIA,2. EM EXECUÇÃO
"MINISTÉRIO DA CIÊNCIA, TECNOLOGIA E INOVAÇÕES",MCTI,2. EM EXECUÇÃO
MINISTÉRIO DA DEFESA,MD,2. EM EXECUÇÃO
MINISTÉRIO DA ECONOMIA,ME,2. EM EXECUÇÃO
MINISTÉRIO DA EDUCAÇÃO,MEC,2. EM EXECUÇÃO
MINISTÉRIO DA INFRAESTRUTURA,MINFRA,2. EM EXECUÇÃO
MINISTÉRIO DA JUSTIÇA E SEGURANÇA PÚBLICA,MJSP,2. EM EXECUÇÃO
"MINISTÉRIO DA MULHER, DA FAMÍLIA E DOS DIREITOS HUMANOS",MMFDH,2. EM EXECUÇÃO
MINISTÉRIO DA SAÚDE,MS,2. EM EXECUÇÃO
