Pergunta,Bloco,Discordo,Discordo_Parcial,Concordo_Parcial,Concordo,NR,Disc_aj,Disc_Parc_aj,Conc_Parc_aj,Conc_aj,Nivel
41,Processo,20.0,32.5,32.5,5.0,10.0,0.2222222222222222,0.3611111111111111,0.3611111111111111,0.05555555555555555,5.625
42,Processo,15.0,17.5,37.5,22.5,7.5,0.16216216216216217,0.1891891891891892,0.40540540540540543,0.24324324324324326,6.824324324324325
43,Processo,20.0,17.5,47.5,12.5,2.5,0.20512820512820512,0.1794871794871795,0.48717948717948717,0.1282051282051282,6.346153846153847
44,Processo,20.0,27.5,32.5,12.5,7.5,0.21621621621621623,0.2972972972972973,0.35135135135135137,0.13513513513513514,6.013513513513513
45,Resultado,20.0,20.0,37.5,20.0,2.5,0.20512820512820512,0.20512820512820512,0.38461538461538464,0.20512820512820512,6.4743589743589745
46,Resultado,7.5,27.5,37.5,22.5,5.0,0.07894736842105263,0.2894736842105263,0.39473684210526316,0.23684210526315788,6.973684210526317
47,Resultado,10.0,5.0,25.0,55.0,5.0,0.10526315789473684,0.05263157894736842,0.2631578947368421,0.5789473684210527,8.289473684210527
48,Resultado,7.5,2.5,32.5,55.0,2.5,0.07692307692307693,0.02564102564102564,0.3333333333333333,0.5641025641025641,8.46153846153846
49,Resultado,12.5,5.0,40.0,40.0,2.5,0.1282051282051282,0.05128205128205128,0.41025641025641024,0.41025641025641024,7.7564102564102555
50,Resultado,12.5,15.0,30.0,37.5,5.0,0.13157894736842105,0.15789473684210525,0.3157894736842105,0.39473684210526316,7.434210526315789
51,Resultado,10.0,7.5,37.5,42.5,2.5,0.10256410256410256,0.07692307692307693,0.38461538461538464,0.4358974358974359,7.884615384615386
52,Resultado,12.5,17.5,25.0,37.5,7.5,0.13513513513513514,0.1891891891891892,0.2702702702702703,0.40540540540540543,7.364864864864866
53,Resultado,10.0,12.5,35.0,40.0,2.5,0.10256410256410256,0.1282051282051282,0.358974358974359,0.41025641025641024,7.6923076923076925
