orgao_superior_codigo_siorg,orgao_superior_nome,orgao_superior_sigla,orgao_codigo_siorg,orgao_nome,orgao_sigla,orgao_como_no_raiox_nome,orgao_como_no_raiox_sigla,ano_mes_referencia,quantidade_servidores_cedidos_apf,quantidade_servidores_cedidos_outros,quantidade_servidores_cedidos,quantidade_servidores_quadro_pessoal,quantidade_estagiarios
244,MINISTÉRIO DA EDUCAÇÃO,MEC,465,FUNDAÇÃO UNIVERSIDADE DO AMAZONAS,UFAM,FUNDAÇÃO UNIVERSIDADE DO AMAZONAS,UFAM,202203,6,36,42,3256,0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,471,FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,FUNDAÇÃO UNIVERSIDADE FEDERAL DE MATO GROSSO,UFMT,202203,7,29,36,3266,72
244,MINISTÉRIO DA EDUCAÇÃO,MEC,84710,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,UFRB,UNIVERSIDADE FEDERAL DO RECÔNCAVO DA BAHIA,UFRB,202203,4,3,7,1603,13
244,MINISTÉRIO DA EDUCAÇÃO,MEC,451,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE GOIÁS",IFGO,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE GOIÁS",IFGO,202203,5,6,11,2001,20
244,MINISTÉRIO DA EDUCAÇÃO,MEC,46784,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SERTÃO PERNAMBUCANO",IFSPE,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO SERTÃO PERNAMBUCANO",IFSPE,202203,2,4,6,1010,4
244,MINISTÉRIO DA EDUCAÇÃO,MEC,69624,FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,UNIVASF,FUNDAÇÃO UNIVERSIDADE FEDERAL DO VALE DO SÃO FRANCISCO,UNIVASF,202203,2,9,11,962,35
244,MINISTÉRIO DA EDUCAÇÃO,MEC,415,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,UNIVERSIDADE FEDERAL DO PARÁ,UFPA,202203,11,82,93,5225,0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,428,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,UNIVERSIDADE FEDERAL DO PARANÁ,UFPR,202203,10,47,57,5964,86
244,MINISTÉRIO DA EDUCAÇÃO,MEC,430,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,UNIVERSIDADE FEDERAL DO RIO GRANDE DO SUL,UFRGS,202203,10,21,31,5379,0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,1605,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RORAIMA,UFRR,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RORAIMA,UFRR,202203,3,1,4,1006,52
244,MINISTÉRIO DA EDUCAÇÃO,MEC,458,UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,UFERSA-RN,UNIVERSIDADE FEDERAL RURAL DO SEMI-ÁRIDO,UFERSA-RN,202203,3,10,13,1238,80
244,MINISTÉRIO DA EDUCAÇÃO,MEC,472,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,UNIVERSIDADE FEDERAL DE UBERLÂNDIA,UFU,202203,7,67,74,4845,76
244,MINISTÉRIO DA EDUCAÇÃO,MEC,1710,FUNDAÇÃO UNIVERSIDADE FEDERAL DO AMAPÁ,UNIFAP,FUNDAÇÃO UNIVERSIDADE FEDERAL DO AMAPÁ,UNIFAP,202203,18,12,30,1112,3
244,MINISTÉRIO DA EDUCAÇÃO,MEC,257,FUNDAÇÃO JOAQUIM NABUCO,FUNDAJ,FUNDAÇÃO JOAQUIM NABUCO,FUNDAJ,202203,1,1,2,181,17
244,MINISTÉRIO DA EDUCAÇÃO,MEC,100905,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA PARAÍBA",IFPB,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DA PARAÍBA",IFPB,202203,3,5,8,2335,19
244,MINISTÉRIO DA EDUCAÇÃO,MEC,100918,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL",IFRS,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO RIO GRANDE DO SUL",IFRS,202203,7,1,8,2117,20
244,MINISTÉRIO DA EDUCAÇÃO,MEC,94428,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ",IFAP,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO AMAPÁ",IFAP,202203,0,3,3,615,0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,453,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO",IFSP,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SÃO PAULO",IFSP,202203,7,3,10,4536,23
244,MINISTÉRIO DA EDUCAÇÃO,MEC,103730,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,UFFS,UNIVERSIDADE FEDERAL DA FRONTEIRA SUL,UFFS,202203,10,1,11,1383,19
244,MINISTÉRIO DA EDUCAÇÃO,MEC,109912,UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA,UNILAB,UNIVERSIDADE DA INTEGRAÇÃO INTERNACIONAL DA LUSOFONIA AFRO-BRASILEIRA,UNILAB,202203,5,1,6,716,35
244,MINISTÉRIO DA EDUCAÇÃO,MEC,122378,UNIVERSIDADE FEDERAL DO SUL DA BAHIA,UFESBA,UNIVERSIDADE FEDERAL DO SUL DA BAHIA,UFESBA,202203,1,0,1,559,0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,244,MINISTÉRIO DA EDUCAÇÃO,MEC,MINISTÉRIO DA EDUCAÇÃO,MEC,202203,4,0,4,401,0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,249,INSTITUTO NACIONAL DE ESTUDOS E PESQUISAS EDUCACIONAIS ANÍSIO TEIXEIRA,INEP,INSTITUTO NACIONAL DE ESTUDOS E PESQUISAS EDUCACIONAIS ANÍSIO TEIXEIRA,INEP,202203,25,9,34,378,14
244,MINISTÉRIO DA EDUCAÇÃO,MEC,422,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,UNIVERSIDADE FEDERAL DE GOIÁS,UFG,202203,10,55,65,5071,6
244,MINISTÉRIO DA EDUCAÇÃO,MEC,67671,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,UNIVERSIDADE FEDERAL DE CAMPINA GRANDE,UFCG,202203,1,35,36,2905,0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,457,UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,UFRA,UNIVERSIDADE FEDERAL RURAL DA AMAZÔNIA,UFRA,202203,6,5,11,1097,39
244,MINISTÉRIO DA EDUCAÇÃO,MEC,454,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,UTFPR,UNIVERSIDADE TECNOLÓGICA FEDERAL DO PARANÁ,UTFPR,202203,2,3,5,3579,0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,94739,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA,UNIPAMPA,FUNDAÇÃO UNIVERSIDADE FEDERAL DO PAMPA,UNIPAMPA,202203,9,3,12,1763,0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,1209,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA,UNIR,FUNDAÇÃO UNIVERSIDADE FEDERAL DE RONDÔNIA,UNIR,202203,2,7,9,1303,28
244,MINISTÉRIO DA EDUCAÇÃO,MEC,100912,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ESPÍRITO SANTO",IF ES,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO ESPÍRITO SANTO",IF ES,202203,2,3,5,2838,96
244,MINISTÉRIO DA EDUCAÇÃO,MEC,100901,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS",IFNMG,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DO NORTE DE MINAS GERAIS",IFNMG,202203,4,10,14,1328,0
244,MINISTÉRIO DA EDUCAÇÃO,MEC,100907,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RONDÔNIA",IFRO,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE RONDÔNIA",IFRO,202203,8,1,9,1179,6
244,MINISTÉRIO DA EDUCAÇÃO,MEC,100909,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE",IFS,"INSTITUTO FEDERAL DE EDUCAÇÃO, CIÊNCIA E TECNOLOGIA DE SERGIPE",IFS,202203,7,3,10,1179,0
